// 24 Mesure de la reponse pour effectuer une moyenne par la suite
244,9208,15999992
244,9209,15999993
244,9181,15999965
244,9180,15999964
244,9179,15999963
244,9180,15999964
244,9181,15999965
244,9232,16000016
244,9236,16000020
244,9235,16000019
244,9236,16000020
244,9234,16000018
244,9177,15999961
244,9180,15999964
244,9180,15999964
244,9179,15999963
244,9178,15999962
244,9236,16000020
244,9235,16000019
244,9236,16000020
244,9233,16000017
244,9236,16000020
244,9181,15999965
244,9180,15999964
244,9180,15999964
244,9181,15999965
244,9180,15999964
244,9235,16000019
244,9236,16000020
244,9235,16000019
244,9236,16000020
244,9236,16000020
244,9180,15999964
244,9179,15999963
244,9180,15999964
244,9179,15999963
244,9181,15999965
244,9234,16000018
244,9233,16000017
244,9235,16000019
244,9236,16000020
244,9235,16000019
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9179,15999963
244,9236,16000020
244,9234,16000018
244,9236,16000020
244,9235,16000019
244,9235,16000019
244,9181,15999965
244,9179,15999963
244,9179,15999963
244,9181,15999965
244,9180,15999964
244,9233,16000017
244,9235,16000019
244,9236,16000020
244,9236,16000020
244,9235,16000019
244,9179,15999963
244,9181,15999965
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9236,16000020
244,9236,16000020
244,9235,16000019
244,9235,16000019
244,9234,16000018
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9232,16000016
244,9236,16000020
244,9236,16000020
244,9236,16000020
244,9233,16000017
244,9179,15999963
244,9179,15999963
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9236,16000020
244,9236,16000020
244,9235,16000019
244,9235,16000019
244,9236,16000020
244,9181,15999965
244,9177,15999961
244,9179,15999963
244,9180,15999964
244,9179,15999963
244,9235,16000019
244,9233,16000017
244,9234,16000018
244,9236,16000020
244,9235,16000019
244,9180,15999964
244,9180,15999964
244,9177,15999961
244,9180,15999964
244,9180,15999964
244,9235,16000019
244,9236,16000020
244,9234,16000018
244,9235,16000019
244,9233,16000017
244,9180,15999964
244,9181,15999965
244,9180,15999964
244,9179,15999963
244,9181,15999965
244,9235,16000019
244,9236,16000020
244,9234,16000018
244,9236,16000020
244,9236,16000020
244,9178,15999962
244,9181,15999965
244,9180,15999964
244,9180,15999964
244,9179,15999963
244,9235,16000019
244,9235,16000019
244,9236,16000020
244,9235,16000019
244,9235,16000019
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9235,16000019
244,9235,16000019
244,9234,16000018
244,9235,16000019
244,9235,16000019
244,9179,15999963
244,9181,15999965
244,9179,15999963
244,9180,15999964
244,9180,15999964
244,9234,16000018
244,9234,16000018
244,9233,16000017
244,9235,16000019
244,9233,16000017
244,9181,15999965
244,9180,15999964
244,9180,15999964
244,9179,15999963
244,9180,15999964
244,9234,16000018
244,9235,16000019
244,9235,16000019
244,9236,16000020
244,9234,16000018
244,9180,15999964
244,9179,15999963
244,9179,15999963
244,9179,15999963
244,9180,15999964
244,9233,16000017
244,9234,16000018
244,9236,16000020
244,9235,16000019
244,9236,16000020
244,9180,15999964
244,9178,15999962
244,9179,15999963
244,9180,15999964
244,9179,15999963
244,9233,16000017
244,9234,16000018
244,9235,16000019
244,9235,16000019
244,9234,16000018
244,9180,15999964
244,9179,15999963
244,9177,15999961
244,9179,15999963
244,9179,15999963
244,9232,16000016
244,9235,16000019
244,9235,16000019
244,9235,16000019
244,9234,16000018
244,9179,15999963
244,9179,15999963
244,9178,15999962
244,9179,15999963
244,9178,15999962
244,9234,16000018
244,9235,16000019
244,9235,16000019
244,9234,16000018
244,9235,16000019
244,9179,15999963
244,9179,15999963
244,9180,15999964
244,9178,15999962
244,9180,15999964
244,9233,16000017
244,9235,16000019
244,9235,16000019
244,9235,16000019
244,9235,16000019
244,9178,15999962
244,9179,15999963
244,9180,15999964
244,9179,15999963
244,9180,15999964
244,9235,16000019
244,9234,16000018
244,9232,16000016
244,9236,16000020
244,9235,16000019
244,9180,15999964
244,9177,15999961
244,9178,15999962
244,9180,15999964
244,9179,15999963
244,9235,16000019
244,9235,16000019
244,9234,16000018
244,9235,16000019
244,9236,16000020
244,9179,15999963
244,9180,15999964
244,9178,15999962
244,9177,15999961
244,9179,15999963
244,9235,16000019
244,9235,16000019
244,9234,16000018
244,9235,16000019
244,9235,16000019
244,9180,15999964
244,9179,15999963
244,9180,15999964
244,9180,15999964
244,9178,15999962
244,9235,16000019
244,9235,16000019
244,9235,16000019
244,9235,16000019
244,9233,16000017
244,9180,15999964
244,9180,15999964
244,9179,15999963
244,9180,15999964
244,9179,15999963
244,9235,16000019
244,9235,16000019
244,9235,16000019
244,9236,16000020
244,9234,16000018
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9180,15999964
244,9234,16000018
244,9235,16000019
244,9235,16000019
244,9235,16000019
244,9234,16000018
244,9181,15999965
244,9176,15999960
244,9179,15999963
244,9180,15999964
244,9179,15999963
244,9235,16000019
244,9236,16000020
244,9235,16000019
244,9235,16000019
244,9235,16000019
244,9181,15999965
244,9178,15999962
244,9179,15999963
244,9180,15999964
244,9180,15999964
244,9233,16000017
244,9236,16000020
244,9234,16000018
244,9235,16000019
244,9236,16000020
244,9179,15999963
244,9180,15999964
