|colonne 1: nOverflow; |colonne 2: position du 1pps; |colonne 3; frequence
244,8759,15999543
244,8758,15999542
244,8760,15999544
244,8759,15999543
244,8759,15999543
244,8761,15999545
244,8761,15999545
244,8759,15999543
244,8761,15999545
244,8762,15999546
244,8763,15999547
244,8763,15999547
244,8763,15999547
244,8751,15999535
244,8734,15999518
244,8719,15999503
244,8709,15999493
244,8704,15999488
244,8700,15999484
244,8701,15999485
244,8709,15999493
244,8722,15999506
244,8740,15999524
244,8762,15999546
244,8790,15999574
244,8820,15999604
244,8852,15999636
244,8886,15999670
244,8923,15999707
244,8957,15999741
244,8973,15999757
244,8980,15999764
244,8949,15999733
244,8922,15999706
244,8896,15999680
244,8871,15999655
244,8848,15999632
244,8830,15999614
244,8811,15999595
244,8798,15999582
244,8785,15999569
244,8774,15999558
244,8766,15999550
244,8759,15999543
244,8752,15999536
244,8744,15999528
244,8740,15999524
244,8737,15999521
244,8732,15999516
244,8731,15999515
244,8728,15999512
244,8723,15999507
244,8724,15999508
244,8722,15999506
244,8722,15999506
244,8722,15999506
244,8721,15999505
244,8719,15999503
244,8721,15999505
244,8721,15999505
244,8721,15999505
244,8719,15999503
244,8719,15999503
244,8721,15999505
244,8723,15999507
244,8723,15999507
244,8724,15999508
244,8723,15999507
244,8724,15999508
244,8725,15999509
244,8726,15999510
