F:15999996 | Err:4 | Cmd:82
F:15999996 | Err:4 | Cmd:83
F:15999998 | Err:2 | Cmd:83
F:15999997 | Err:3 | Cmd:84
F:15999996 | Err:4 | Cmd:85
F:15999995 | Err:5 | Cmd:86
F:15999996 | Err:4 | Cmd:87
F:15999995 | Err:5 | Cmd:88
F:15999994 | Err:6 | Cmd:90
F:15999998 | Err:2 | Cmd:90
F:15999997 | Err:3 | Cmd:91
F:15999985 | Err:15 | Cmd:96
F:15999979 | Err:21 | Cmd:101
F:15999987 | Err:13 | Cmd:103
F:15999994 | Err:6 | Cmd:104
F:15999998 | Err:2 | Cmd:104
F:16000004 | Err:-4 | Cmd:102
F:16000013 | Err:-13 | Cmd:98
F:16000020 | Err:-20 | Cmd:93
F:16000024 | Err:-24 | Cmd:87
F:16000026 | Err:-26 | Cmd:80
F:16000023 | Err:-23 | Cmd:75
F:16000021 | Err:-21 | Cmd:71
F:16000021 | Err:-21 | Cmd:66
F:16000018 | Err:-18 | Cmd:62
F:16000015 | Err:-15 | Cmd:59
F:16000016 | Err:-16 | Cmd:55
F:16000014 | Err:-14 | Cmd:52
F:16000012 | Err:-12 | Cmd:50
F:16000010 | Err:-10 | Cmd:48
F:16000006 | Err:-6 | Cmd:47
F:16000002 | Err:-2 | Cmd:47
F:16000003 | Err:-3 | Cmd:46
F:15999999 | Err:1 | Cmd:47
F:15999999 | Err:1 | Cmd:47
F:15999994 | Err:6 | Cmd:49
F:15999992 | Err:8 | Cmd:51
F:15999990 | Err:10 | Cmd:54
F:15999991 | Err:9 | Cmd:56
F:15999985 | Err:15 | Cmd:60
F:15999982 | Err:18 | Cmd:64
F:15999976 | Err:24 | Cmd:71
F:15999976 | Err:24 | Cmd:76
F:15999972 | Err:28 | Cmd:83
F:15999973 | Err:27 | Cmd:89
F:15999971 | Err:29 | Cmd:96
F:15999970 | Err:30 | Cmd:103
F:15999973 | Err:27 | Cmd:109
F:15999973 | Err:27 | Cmd:115
F:15999975 | Err:25 | Cmd:121
F:15999975 | Err:25 | Cmd:126
F:15999978 | Err:22 | Cmd:131
F:15999977 | Err:23 | Cmd:136
F:15999981 | Err:19 | Cmd:140
F:15999982 | Err:18 | Cmd:144
F:15999984 | Err:16 | Cmd:148
F:15999987 | Err:13 | Cmd:150
F:15999987 | Err:13 | Cmd:153
F:15999988 | Err:12 | Cmd:156
F:15999991 | Err:9 | Cmd:158
F:15999993 | Err:7 | Cmd:159
F:15999993 | Err:7 | Cmd:161
F:15999993 | Err:7 | Cmd:162
F:15999995 | Err:5 | Cmd:163
F:15999997 | Err:3 | Cmd:164
F:15999998 | Err:2 | Cmd:164
F:15999999 | Err:1 | Cmd:164
F:16000001 | Err:-1 | Cmd:164
F:16000001 | Err:-1 | Cmd:163
F:16000003 | Err:-3 | Cmd:162
F:16000003 | Err:-3 | Cmd:162
F:16000003 | Err:-3 | Cmd:161
F:16000004 | Err:-4 | Cmd:160
F:16000004 | Err:-4 | Cmd:159
F:16000006 | Err:-6 | Cmd:158
F:16000005 | Err:-5 | Cmd:156
F:16000006 | Err:-6 | Cmd:155
F:16000006 | Err:-6 | Cmd:154
F:16000006 | Err:-6 | Cmd:152
F:16000007 | Err:-7 | Cmd:151
F:16000007 | Err:-7 | Cmd:149
F:16000004 | Err:-4 | Cmd:148
F:16000007 | Err:-7 | Cmd:146
F:16000006 | Err:-6 | Cmd:145
F:16000008 | Err:-8 | Cmd:143
F:16000006 | Err:-6 | Cmd:142
F:16000007 | Err:-7 | Cmd:140
F:16000005 | Err:-5 | Cmd:139
F:16000008 | Err:-8 | Cmd:137
F:16000007 | Err:-7 | Cmd:136
F:16000007 | Err:-7 | Cmd:134
F:16000006 | Err:-6 | Cmd:133
F:16000007 | Err:-7 | Cmd:131
F:16000007 | Err:-7 | Cmd:129
F:16000008 | Err:-8 | Cmd:127
F:16000007 | Err:-7 | Cmd:126
F:16000007 | Err:-7 | Cmd:124
F:16000007 | Err:-7 | Cmd:123
F:16000008 | Err:-8 | Cmd:121
F:16000006 | Err:-6 | Cmd:120
F:16000005 | Err:-5 | Cmd:119
F:16000007 | Err:-7 | Cmd:117
F:16000008 | Err:-8 | Cmd:115
F:16000006 | Err:-6 | Cmd:114
F:16000007 | Err:-7 | Cmd:112
F:16000006 | Err:-6 | Cmd:111
F:16000006 | Err:-6 | Cmd:109
F:16000005 | Err:-5 | Cmd:108
F:16000007 | Err:-7 | Cmd:106
F:16000006 | Err:-6 | Cmd:105
F:16000006 | Err:-6 | Cmd:104
F:16000005 | Err:-5 | Cmd:103
F:16000006 | Err:-6 | Cmd:101
F:16000005 | Err:-5 | Cmd:100
F:16000006 | Err:-6 | Cmd:99
F:16000006 | Err:-6 | Cmd:97
F:16000004 | Err:-4 | Cmd:97
F:16000006 | Err:-6 | Cmd:95
F:16000005 | Err:-5 | Cmd:94
F:16000006 | Err:-6 | Cmd:92
F:16000004 | Err:-4 | Cmd:92
F:16000005 | Err:-5 | Cmd:90
F:16000005 | Err:-5 | Cmd:89
F:16000004 | Err:-4 | Cmd:89
F:16000006 | Err:-6 | Cmd:87
F:16000004 | Err:-4 | Cmd:86
F:16000003 | Err:-3 | Cmd:86
F:16000003 | Err:-3 | Cmd:85
F:16000005 | Err:-5 | Cmd:84
F:16000004 | Err:-4 | Cmd:83
F:16000004 | Err:-4 | Cmd:82
F:16000005 | Err:-5 | Cmd:81
F:16000004 | Err:-4 | Cmd:80
F:16000003 | Err:-3 | Cmd:79
F:16000003 | Err:-3 | Cmd:79
F:16000004 | Err:-4 | Cmd:77
F:16000004 | Err:-4 | Cmd:77
F:16000004 | Err:-4 | Cmd:76
F:16000004 | Err:-4 | Cmd:75
F:16000003 | Err:-3 | Cmd:74
F:16000004 | Err:-4 | Cmd:73
F:16000003 | Err:-3 | Cmd:73
F:16000003 | Err:-3 | Cmd:72
F:16000004 | Err:-4 | Cmd:71
F:16000002 | Err:-2 | Cmd:71
F:16000004 | Err:-4 | Cmd:69
F:16000002 | Err:-2 | Cmd:69
F:16000002 | Err:-2 | Cmd:69
F:16000004 | Err:-4 | Cmd:68
F:16000003 | Err:-3 | Cmd:67
F:16000001 | Err:-1 | Cmd:67
F:16000003 | Err:-3 | Cmd:66
F:16000002 | Err:-2 | Cmd:66
F:16000003 | Err:-3 | Cmd:65
F:16000003 | Err:-3 | Cmd:64
F:16000002 | Err:-2 | Cmd:64
F:16000003 | Err:-3 | Cmd:63
F:16000001 | Err:-1 | Cmd:63
F:16000000 | Err:0 | Cmd:63
F:16000002 | Err:-2 | Cmd:63
F:16000003 | Err:-3 | Cmd:62
F:16000002 | Err:-2 | Cmd:61
F:16000002 | Err:-2 | Cmd:61
F:16000003 | Err:-3 | Cmd:60
F:16000001 | Err:-1 | Cmd:60
F:16000003 | Err:-3 | Cmd:59
F:16000002 | Err:-2 | Cmd:59
F:16000003 | Err:-3 | Cmd:58
F:16000001 | Err:-1 | Cmd:58
F:16000002 | Err:-2 | Cmd:57
F:16000002 | Err:-2 | Cmd:57
F:16000002 | Err:-2 | Cmd:57
F:16000002 | Err:-2 | Cmd:56
F:16000001 | Err:-1 | Cmd:56
F:16000003 | Err:-3 | Cmd:55
F:16000002 | Err:-2 | Cmd:55
F:16000002 | Err:-2 | Cmd:54
F:16000000 | Err:0 | Cmd:55
F:16000003 | Err:-3 | Cmd:53
F:16000001 | Err:-1 | Cmd:53
F:16000001 | Err:-1 | Cmd:53
F:16000002 | Err:-2 | Cmd:53
F:16000001 | Err:-1 | Cmd:53
F:16000003 | Err:-3 | Cmd:52
F:16000002 | Err:-2 | Cmd:51
F:16000002 | Err:-2 | Cmd:51
F:16000002 | Err:-2 | Cmd:50
F:16000001 | Err:-1 | Cmd:50
F:16000002 | Err:-2 | Cmd:50
F:16000001 | Err:-1 | Cmd:50
F:16000002 | Err:-2 | Cmd:49
F:16000002 | Err:-2 | Cmd:49
F:16000000 | Err:0 | Cmd:49
F:16000002 | Err:-2 | Cmd:48
F:16000002 | Err:-2 | Cmd:48
